Carrera,Sexo,FechaNacimiento,Edad,Semestre,AsignaturasCursadas,AsignaturasAprobadas,CreditosCursados,CreditosAprobados,PromedioUltimoPeriodo,PromedioAcumulado,Duracion,Estado
ADMINISTRACIÓN DE EMPRESAS,Femenino,17/04/1985,32,0904109589041,10,25,25,25,25,4,25,4,25,5,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Masculino,08/04/1990,27,1123287671233,3,14,11,47,37,2,904,3,134,2,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,04/09/1986,30,7068493150685,2,8,7,27,24,3,232,3,7,1,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,20/05/1987,30,4,29,24,99,82,2,668,3,276,6,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,17/11/1982,34,5068493150685,1,6,6,18,18,3,5,3,5,0,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,03/10/1979,37,6328767123288,10,11,5,11,5,1,166,3,208,3,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,06/09/1983,33,7041095890411,4,23,20,63,55,3,466,3,572,4,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,17/12/1981,35,4246575342466,9,41,41,115,115,4,721,4,295,6,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Femenino,04/11/1996,20,5315068493151,3,8,5,27,17,3,532,4,014,1,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,05/05/1986,31,041095890411,10,60,58,178,171,4,517,3,953,11,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,20/03/1980,37,1698630136986,1,6,5,18,15,3,533,3,533,0,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,05/08/1986,30,7890410958904,1,12,3,34,9,0,431,1,417,1,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,03/04/1985,32,1287671232877,5,35,30,97,83,4,196,3,747,14,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,10/03/1991,26,1917808219178,8,41,39,136,130,4,05,3,598,6,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Femenino,22/06/1982,34,9123287671233,7,40,39,135,134,4,393,3,965,8,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,26/06/1983,33,9013698630137,8,44,44,146,146,3,907,4,012,8,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,08/06/1997,19,9397260273973,3,17,15,57,50,3,608,3,411,3,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,11/02/1975,42,2767123287671,1,5,5,5,5,3,5,3,5,0,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Femenino,01/01/1959,58,4,10,10,10,11,11,3,706,3,735,1,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Femenino,30/08/1975,41,7287671232877,9,38,38,104,104,4,32,4,125,7,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Masculino,17/09/1984,32,6712328767123,6,44,26,113,69,2,315,2,904,8,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Masculino,01/12/1992,24,4602739726027,1,5,0,17,0,1,768,1,768,0,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Masculino,01/01/1990,27,3780821917808,1,5,5,19,19,4,4,4,4,0,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,24/06/1984,32,9041095890411,8,41,39,127,121,4,346,4,346,8,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Masculino,13/07/1988,28,8493150684932,9,31,31,87,87,4,254,3,954,4,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Masculino,01/12/1986,30,4657534246575,10,18,18,19,19,3,67,3,609,3,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Masculino,27/04/1998,19,0547945205479,4,21,20,70,67,3,793,3,938,3,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,26/05/1988,28,9808219178082,9,34,33,34,33,3,875,3,875,5,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Femenino,03/07/1988,28,8767123287671,9,54,53,144,141,4,031,3,796,8,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Femenino,06/09/1989,27,6986301369863,3,2,2,6,6,3,275,3,648,0,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,27/02/1997,20,2164383561644,3,5,4,17,13,3,344,4,155,0,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,19/04/1974,43,0931506849315,9,54,47,141,121,3,1,3,448,12,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Femenino,15/03/1994,23,1753424657534,3,9,6,30,20,2,835,3,863,1,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,04/02/1987,30,2876712328767,8,58,58,158,158,4,5,4,5,9,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Masculino,03/02/1996,21,2849315068493,3,12,12,41,41,4,162,4,072,2,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Masculino,17/11/1981,35,5068493150685,10,34,27,34,27,3,61,3,544,8,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Masculino,11/05/1989,28,0219178082192,2,16,12,44,34,2,375,3,285,5,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Masculino,16/05/1996,21,0027397260274,1,5,5,17,17,4,365,4,365,0,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Masculino,19/09/1994,22,6602739726027,2,28,9,91,31,0,42,2,24,4,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,01/01/1984,33,3835616438356,10,26,26,26,26,4,25,4,25,5,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Femenino,04/07/1991,25,8739726027397,5,31,31,103,103,3,928,4,023,5,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,27/09/1994,22,6383561643836,3,11,9,35,28,3,875,3,894,2,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,17/10/1983,33,5917808219178,10,5,5,5,5,4,3,494,1,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Femenino,27/02/1996,21,2191780821918,1,6,6,20,20,3,67,3,67,0,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,25/01/1991,26,3123287671233,2,15,9,46,26,2,111,2,994,6,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,19/01/1950,67,3561643835616,3,19,16,64,54,3,488,3,297,3,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,19/04/1995,22,0794520547945,3,5,5,16,16,3,894,3,416,0,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,11/08/1986,30,772602739726,4,26,24,82,75,3,068,3,597,5,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,11/10/1995,21,6,3,16,16,53,53,4,109,3,782,2,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,07/03/1990,27,2,9,62,60,169,162,3,506,3,615,9,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Femenino,07/03/1990,27,2,9,62,60,169,162,3,4,3,4,9,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Femenino,15/06/1981,35,9315068493151,8,45,43,139,133,4,406,3,863,12,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,15/06/1981,35,9315068493151,8,45,43,139,133,4,4,12,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,08/02/1989,28,2739726027397,9,57,56,146,144,4,194,4,194,8,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Femenino,20/02/1989,28,241095890411,5,37,30,114,94,3,763,3,628,14,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,10/11/1996,20,5150684931507,2,18,11,59,34,1,791,2,785,3,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,27/01/1996,21,3041095890411,6,40,40,137,137,4,155,3,915,7,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,25/01/1991,26,3123287671233,9,61,60,166,162,4,171,3,811,8,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Masculino,10/03/1981,36,1972602739726,9,37,35,103,97,3,1,3,379,6,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Masculino,03/07/1997,19,8712328767123,10,7,3,15,5,0,2,212,1,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,28/08/1998,18,7178082191781,2,5,5,16,16,4,313,4,324,0,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,28/08/1998,18,7178082191781,1,5,5,17,17,4,335,4,335,0,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,24/09/1989,27,6493150684932,1,6,2,18,6,2,567,2,567,0,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,28/01/1985,32,3068493150685,6,35,31,88,78,3,664,3,573,7,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,03/09/1992,24,7041095890411,1,5,0,16,0,1,103,2,747,0,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,09/10/1994,22,6054794520548,1,7,3,24,11,2,12,2,202,1,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,17/02/1991,26,2493150684931,3,11,6,28,13,2,263,3,373,2,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,20/10/1986,30,5808219178082,9,46,33,122,93,2,479,3,331,8,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,01/01/2006,11,3671232876712,10,17,17,17,17,3,857,3,857,5,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Femenino,15/01/1987,30,3424657534247,3,10,5,34,16,3,925,3,604,9,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,19/09/1975,41,6739726027397,7,40,32,112,90,2,106,3,443,8,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,10/05/1983,34,0301369863014,5,17,12,42,29,3,475,3,49,2,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,26/07/1997,19,8082191780822,5,32,32,105,105,4,409,4,307,5,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,14/05/1997,20,0082191780822,3,13,13,44,44,4,365,3,743,2,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Femenino,31/05/1987,29,9698630136986,9,42,40,113,109,3,589,3,798,6,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Femenino,24/11/1989,27,4821917808219,1,6,3,20,11,2,853,3,364,0,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Femenino,28/04/1990,27,0575342465753,9,64,63,167,164,4,217,3,945,8,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Femenino,28/04/1990,27,0575342465753,9,64,63,167,164,4,5,4,5,8,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Femenino,06/11/1985,31,5342465753425,9,57,56,146,144,4,168,3,869,7,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Femenino,15/08/1981,35,7643835616438,9,30,30,86,86,4,079,3,733,4,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Femenino,09/07/1992,24,8575342465753,1,9,7,31,24,2,962,2,961,1,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Masculino,14/02/1990,27,2575342465753,1,6,3,18,9,2,117,2,117,0,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Masculino,26/12/1981,35,4,1,5,0,17,0,1,315,1,315,0,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Masculino,27/12/1995,21,3890410958904,6,41,36,137,122,4,117,3,618,7,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Masculino,29/10/1977,39,5616438356164,1,4,2,12,6,2,925,3,221,0,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Masculino,11/02/1991,26,2657534246575,3,31,17,86,45,3,045,2,771,5,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Masculino,05/10/1999,17,613698630137,2,10,9,34,31,3,709,3,568,1,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Masculino,29/08/1996,20,7150684931507,1,5,5,17,17,3,947,3,947,0,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Masculino,28/02/1994,23,2164383561644,3,17,12,58,40,3,893,3,247,9,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Masculino,06/10/1986,30,6191780821918,8,52,51,156,153,4,404,4,462,8,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Masculino,26/08/1995,21,7260273972603,1,5,5,17,17,3,938,3,938,0,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Masculino,23/05/1991,25,9890410958904,3,12,3,40,9,2,19,3,014,3,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Masculino,17/05/1991,26,0054794520548,1,9,1,29,3,1,082,2,362,7,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Masculino,06/04/1998,19,1123287671233,1,5,0,17,0,0,185,0,185,0,ACTIVO
ADMINISTRACIÓN DE EMPRESAS,Masculino,04/03/1991,26,2082191780822,9,66,59,181,161,3,5,3,5,11,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Masculino,25/05/1988,28,9835616438356,1,11,3,35,8,1,182,1,182,4,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Masculino,06/09/1989,27,6986301369863,8,62,56,187,170,3,3,847,15,GRADUADO
ADMINISTRACIÓN DE EMPRESAS,Masculino,11/09/1990,26,6849315068493,10,28,21,73,53,1,7,3,081,3,DESERTOR
ADMINISTRACIÓN DE EMPRESAS,Masculino,23/12/1994,22,4,6,52,33,173,108,3,265,2,669,10,ACTIVO
