INGENIERÍA DE SISTEMAS,Masculino,33367,26,1,10,5,26,12,2,247,2,555,1,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,30482,34,10,39,30,114,82,3,5,3,5,9,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,33862,25,5,48,30,150,93,3,038,3,091,13,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,33100,27,8,29,22,92,70,3,475,3,609,6,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,38635,12,10,38,34,111,97,4,4,11,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,35035,21,3,21,10,68,31,0,635,2,232,4,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,31391,31,1,5,0,16,0,1,538,1,538,0,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,31819,30,6,50,30,156,93,3,025,3,12,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,32240,29,10,56,40,161,113,0,0,12,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,30345,34,7,39,16,114,46,3,25,3,132,15,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,32714,28,1,9,5,24,13,3,325,3,144,1,DESERTOR
INGENIERÍA DE SISTEMAS,Femenino,33294,26,3,5,0,15,0,0,36,3,02,0,DESERTOR
INGENIERÍA DE SISTEMAS,Femenino,32629,28,10,40,39,115,110,0,0,9,GRADUADO
INGENIERÍA DE SISTEMAS,Femenino,36526,17,10,46,35,118,91,3,25,3,455,10,GRADUADO
INGENIERÍA DE SISTEMAS,Femenino,29118,38,10,22,19,65,51,3,8,3,554,4,GRADUADO
INGENIERÍA DE SISTEMAS,Femenino,31344,32,10,32,28,89,77,3,1,3,451,7,GRADUADO
INGENIERÍA DE SISTEMAS,Femenino,28381,40,7,44,26,134,79,2,25,3,144,17,ACTIVO
INGENIERÍA DE SISTEMAS,Femenino,31876,30,5,17,12,51,35,2,977,3,055,3,DESERTOR
INGENIERÍA DE SISTEMAS,Femenino,33141,27,9,57,56,157,154,3,5,3,5,11,GRADUADO
INGENIERÍA DE SISTEMAS,Femenino,32187,29,1,6,0,16,0,1,319,1,319,0,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,35006,22,1,9,2,29,6,1,685,2,247,1,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,29386,37,6,19,10,51,26,1,203,3,115,3,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,30441,34,7,13,8,36,23,2,35,3,5,4,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,31178,32,4,21,18,66,57,3,317,3,5,6,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,32335,29,1,6,1,16,2,2,019,2,019,0,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,33346,26,1,18,6,49,17,0,918,1,412,2,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,33025,27,2,6,6,18,18,3,925,3,506,0,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,31208,32,10,11,8,11,8,3,385,3,321,3,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,27938,41,10,71,34,207,98,3,55,3,02,17,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,29003,38,10,64,60,181,167,4,32,3,584,12,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,29003,38,10,64,60,181,167,4,4,12,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,33006,27,9,43,40,116,107,3,7,3,55,9,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,33459,26,6,67,28,204,84,0,827,2,556,15,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,32577,28,10,53,47,150,133,0,0,9,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,32568,28,5,57,24,175,72,2,5,2,217,16,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,35075,21,1,4,4,13,13,3,588,3,588,0,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,34235,24,10,66,55,183,151,2,4,3,405,11,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,30948,33,4,20,9,56,23,1,575,2,829,3,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,32711,28,9,64,42,190,122,2,517,3,021,17,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,34640,23,9,54,48,164,146,4,05,3,485,9,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,34640,23,9,54,48,164,146,3,5,3,5,9,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,31937,30,7,46,34,144,106,2,733,3,292,10,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,31900,30,7,43,20,129,59,1,65,2,837,13,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,31873,30,5,15,7,49,24,1,881,3,452,3,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,32257,29,3,8,3,27,9,2,3,3,038,2,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,32202,29,9,55,55,156,156,4,4,10,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,36173,18,1,2,0,7,0,1,15,2,697,0,ACTIVO
INGENIERÍA DE SISTEMAS,Femenino,33096,27,4,6,6,20,20,3,915,4,273,1,ACTIVO
INGENIERÍA DE SISTEMAS,Femenino,32751,28,9,54,42,158,123,1,683,3,167,12,DESERTOR
INGENIERÍA DE SISTEMAS,Femenino,31457,31,6,29,28,84,81,3,467,3,727,6,DESERTOR
INGENIERÍA DE SISTEMAS,Femenino,30893,33,10,5,4,5,4,3,6,3,361,1,GRADUADO
INGENIERÍA DE SISTEMAS,Femenino,27854,41,10,9,7,9,7,3,3,1,GRADUADO
INGENIERÍA DE SISTEMAS,Femenino,27854,41,10,9,7,9,7,4,133,3,734,1,GRADUADO
INGENIERÍA DE SISTEMAS,Femenino,28647,39,10,37,30,104,83,2,75,3,441,15,ACTIVO
INGENIERÍA DE SISTEMAS,Femenino,32386,29,10,41,36,114,100,4,7,3,391,8,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,36146,18,1,4,4,13,13,3,569,3,569,0,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,33911,25,5,39,26,116,77,3,517,3,197,13,ACTIVO
INGENIERÍA DE SISTEMAS,Masculino,30947,33,6,29,10,85,28,0,25,2,474,10,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,34444,23,10,61,58,168,159,4,368,4,368,10,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,34444,23,10,61,58,168,159,4,3,884,10,GRADUADO
INGENIERÍA DE SISTEMAS,Masculino,32876,27,2,17,13,45,32,3,013,3,18,2,DESERTOR
INGENIERÍA DE SISTEMAS,Masculino,33322,26,1,2,0,6,0,1,05,1,05,0,ACTIVO
